Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00110,="23:12:56,389",0x79112BE,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00111,="23:12:57,379",0x79139C2,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00112,="23:12:58,398",0x79160C5,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00113,="23:18:39,919",0x7C56DAF,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00114,="23:18:40,939",0x7C594B3,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00115,="23:18:41,930",0x7C5BBB7,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00116,="23:18:42,919",0x7C5E2BA,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00117,="23:18:43,939",0x7C609D2,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00118,="23:18:44,928",0x7C630D5,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00119,="23:18:45,918",0x7C657D9,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00120,="23:18:49,130",0x7C6D4F7,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00121,="23:18:50,148",0x7C6FC23,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00122,="23:18:51,138",0x7C72381,ch1,Receive,0x0056,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00123,="23:18:52,159",0x7C74B1A,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00124,="23:18:53,179",0x7C7721E,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00125,="23:18:54,170",0x7C79921,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00126,="23:18:55,159",0x7C7C025,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00127,="23:18:56,179",0x7C7E73D,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00128,="23:18:57,169",0x7C80E40,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00129,="23:18:58,160",0x7C83544,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00130,="23:18:59,179",0x7C85C47,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00131,="23:19:00,169",0x7C8835F,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00132,="23:19:01,159",0x7C8AA63,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00133,="23:19:02,179",0x7C8D166,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00134,="23:19:03,169",0x7C8F86A,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00135,="23:19:04,159",0x7C91F82,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00136,="23:19:05,179",0x7C94685,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00137,="23:19:08,359",0x7C9C368,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00138,="23:19:09,379",0x7C9EA93,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00139,="23:19:10,399",0x7CA11F2,ch1,Receive,0x0056,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00140,="23:19:11,388",0x7CA394E,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00141,="23:19:12,410",0x7CA6066,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00142,="23:19:13,398",0x7CA876A,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00143,="23:19:14,388",0x7CAAE6D,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00144,="23:19:15,410",0x7CAD571,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00145,="23:19:16,399",0x7CAFC89,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00146,="23:19:17,389",0x7CB238C,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
